site_id,action,eval_fiscal_year,fy_start,fy_end,count
356195,enf_action,2015 / 2016,2015,2016,1
356264,inspection,2018 / 2019,2018,2019,2
356278,enf_action,2015 / 2016,2015,2016,2
356278,inspection,2015 / 2016,2015,2016,2
356278,inspection,2019 / 2020,2019,2020,2
356278,violation,2015 / 2016,2015,2016,6
356278,violation,2019 / 2020,2019,2020,6
356340,enf_action,2013 / 2014,2013,2014,1
356340,inspection,2013 / 2014,2013,2014,2
356340,inspection,2016 / 2017,2016,2017,2
356340,violation,2013 / 2014,2013,2014,1
356340,violation,2016 / 2017,2016,2017,2
356361,enf_action,2016 / 2017,2016,2017,1
356361,inspection,2015 / 2016,2015,2016,3
356361,inspection,2016 / 2017,2016,2017,3
356361,inspection,2017 / 2018,2017,2018,4
356361,inspection,2018 / 2019,2018,2019,3
356361,inspection,2019 / 2020,2019,2020,2
356361,violation,2015 / 2016,2015,2016,14
356361,violation,2016 / 2017,2016,2017,2
356361,violation,2017 / 2018,2017,2018,6
356361,violation,2018 / 2019,2018,2019,20
356361,violation,2019 / 2020,2019,2020,7
356397,inspection,2015 / 2016,2015,2016,1
356397,violation,2015 / 2016,2015,2016,4
356401,inspection,2014 / 2015,2014,2015,1
356401,violation,2014 / 2015,2014,2015,9
356453,inspection,2016 / 2017,2016,2017,2
356453,inspection,2019 / 2020,2019,2020,1
356453,violation,2016 / 2017,2016,2017,2
356469,inspection,2013 / 2014,2013,2014,1
356469,inspection,2015 / 2016,2015,2016,1
356469,inspection,2016 / 2017,2016,2017,1
356469,inspection,2017 / 2018,2017,2018,1
356469,inspection,2018 / 2019,2018,2019,1
356469,violation,2017 / 2018,2017,2018,2
356500,inspection,2017 / 2018,2017,2018,1
356532,inspection,2015 / 2016,2015,2016,1
356532,inspection,2019 / 2020,2019,2020,1
356532,violation,2015 / 2016,2015,2016,6
356586,enf_action,2013 / 2014,2013,2014,1
356586,inspection,2013 / 2014,2013,2014,2
356586,inspection,2016 / 2017,2016,2017,3
356586,violation,2013 / 2014,2013,2014,1
356586,violation,2016 / 2017,2016,2017,4
356635,enf_action,2015 / 2016,2015,2016,1
356635,inspection,2015 / 2016,2015,2016,1
356635,inspection,2016 / 2017,2016,2017,1
356635,inspection,2017 / 2018,2017,2018,1
356635,inspection,2018 / 2019,2018,2019,1
356635,violation,2015 / 2016,2015,2016,1
356657,inspection,2015 / 2016,2015,2016,1
356657,inspection,2017 / 2018,2017,2018,1
356657,violation,2015 / 2016,2015,2016,2
356657,violation,2017 / 2018,2017,2018,3
356701,inspection,2016 / 2017,2016,2017,3
356701,inspection,2019 / 2020,2019,2020,2
356701,violation,2016 / 2017,2016,2017,7
356701,violation,2019 / 2020,2019,2020,10
356709,inspection,2016 / 2017,2016,2017,3
356709,inspection,2019 / 2020,2019,2020,2
356709,violation,2016 / 2017,2016,2017,1
356709,violation,2019 / 2020,2019,2020,3
356713,inspection,2017 / 2018,2017,2018,3
356713,violation,2017 / 2018,2017,2018,2
356740,enf_action,2015 / 2016,2015,2016,2
356740,inspection,2015 / 2016,2015,2016,2
356740,inspection,2018 / 2019,2018,2019,2
356740,violation,2015 / 2016,2015,2016,5
356740,violation,2018 / 2019,2018,2019,2
356754,enf_action,2013 / 2014,2013,2014,1
356754,inspection,2013 / 2014,2013,2014,1
356754,inspection,2016 / 2017,2016,2017,1
