site_id,action,eval_fiscal_year,fy_start,fy_end,count
361534,inspection,2017 / 2018,2017,2018,1
361534,inspection,2018 / 2019,2018,2019,1
361534,violation,2014 / 2015,2014,2015,1
361569,enf_action,2018 / 2019,2018,2019,1
361569,inspection,2016 / 2017,2016,2017,2
361569,inspection,2018 / 2019,2018,2019,1
361569,inspection,2019 / 2020,2019,2020,2
361569,violation,2018 / 2019,2018,2019,1
361573,inspection,2016 / 2017,2016,2017,1
361573,inspection,2017 / 2018,2017,2018,3
361573,inspection,2019 / 2020,2019,2020,1
361573,violation,2016 / 2017,2016,2017,1
361573,violation,2017 / 2018,2017,2018,10
361573,violation,2019 / 2020,2019,2020,1
361728,inspection,2015 / 2016,2015,2016,2
361728,inspection,2017 / 2018,2017,2018,2
361728,inspection,2019 / 2020,2019,2020,2
361728,violation,2017 / 2018,2017,2018,4
361767,inspection,2016 / 2017,2016,2017,2
361767,inspection,2019 / 2020,2019,2020,2
361767,violation,2016 / 2017,2016,2017,4
361767,violation,2019 / 2020,2019,2020,3
361784,inspection,2015 / 2016,2015,2016,2
361784,inspection,2018 / 2019,2018,2019,3
361784,violation,2015 / 2016,2015,2016,1
361784,violation,2018 / 2019,2018,2019,2
361797,inspection,2015 / 2016,2015,2016,4
361797,inspection,2017 / 2018,2017,2018,4
361797,inspection,2018 / 2019,2018,2019,1
361797,inspection,2019 / 2020,2019,2020,2
361797,violation,2015 / 2016,2015,2016,7
361797,violation,2017 / 2018,2017,2018,1
361797,violation,2019 / 2020,2019,2020,3
361846,inspection,2020 / 2021,2020,2021,1
361879,enf_action,2015 / 2016,2015,2016,1
361879,inspection,2015 / 2016,2015,2016,1
361879,inspection,2019 / 2020,2019,2020,1
361879,violation,2015 / 2016,2015,2016,3
